# SCAN_PARAMETERS
# scan_start: 2025-08-08T23:52:07.557284
# download_threshold: 10000, max_file_size_gb: 5.0, rate_limit_delay: 1.5, max_workers: 4
# target_extensions: .bin,.caffemodel,.coreml,.dlc,.ggjt,.ggmf,.ggml,.gguf,.h5,.keras,.llamafile,.mar,.mlmodel,.onnx,.pb,.pkl,.pt,.pt2,.pth,.ptl,.safetensors,.tflite
# output_format: error log
# END_PARAMETERS
repo_id,filename,error_type,reason,timestamp
google-t5/t5-3b,pytorch_model.bin,file_too_large,File size 10.6GB exceeds limit,2025-08-08T23:58:17.062618
mistralai/Mistral-7B-Instruct-v0.2,model-00001-of-00003.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:18.298174
google-t5/t5-3b,tf_model.h5,file_too_large,File size 10.6GB exceeds limit,2025-08-08T23:58:18.598988
mistralai/Mistral-7B-Instruct-v0.2,model-00002-of-00003.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:19.936177
mistralai/Mistral-7B-Instruct-v0.2,model-00003-of-00003.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:21.608391
mistralai/Mistral-7B-Instruct-v0.2,pytorch_model-00001-of-00003.bin,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:23.262401
mistralai/Mistral-7B-Instruct-v0.2,pytorch_model-00002-of-00003.bin,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:26.173958
mistralai/Mistral-7B-Instruct-v0.2,pytorch_model-00003-of-00003.bin,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:27.835436
meta-llama/Meta-Llama-3-8B-Instruct,model-00001-of-00004.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:27.962423
meta-llama/Meta-Llama-3-8B-Instruct,model-00002-of-00004.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:29.628907
meta-llama/Meta-Llama-3-8B-Instruct,model-00003-of-00004.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:31.287982
meta-llama/Meta-Llama-3-8B-Instruct,model-00004-of-00004.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:32.941620
meta-llama/Meta-Llama-3-8B-Instruct,original/consolidated.00.pth,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:34.631514
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,model-00001-of-000002.safetensors,file_too_large,File size 8.1GB exceeds limit,2025-08-08T23:58:37.701699
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,model-00002-of-000002.safetensors,file_too_large,File size 6.9GB exceeds limit,2025-08-08T23:58:39.266978
mistralai/Mistral-7B-Instruct-v0.3,consolidated.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:49.122697
mistralai/Mistral-7B-Instruct-v0.3,model-00001-of-00003.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:50.885145
mistralai/Mistral-7B-Instruct-v0.3,model-00002-of-00003.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:52.549630
mistralai/Mistral-7B-Instruct-v0.3,model-00003-of-00003.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:58:54.219610
meta-llama/Llama-2-7b-chat-hf,model-00001-of-00002.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:59:37.772407
meta-llama/Llama-2-7b-chat-hf,model-00002-of-00002.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:59:39.426030
meta-llama/Llama-2-7b-chat-hf,pytorch_model-00001-of-00002.bin,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:59:41.109417
meta-llama/Llama-2-7b-chat-hf,pytorch_model-00002-of-00002.bin,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:59:42.771797
google/gemma-2-2b,model-00001-of-00003.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:59:44.485696
google/gemma-2-2b,model-00002-of-00003.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:59:46.178705
google/gemma-2-2b,model-00003-of-00003.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:59:47.860915
laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,open_clip_model.safetensors,file_too_large,File size 9.5GB exceeds limit,2025-08-08T23:59:49.486027
laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,open_clip_pytorch_model.bin,file_too_large,File size 9.5GB exceeds limit,2025-08-08T23:59:51.119316
laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,pytorch_model-00001-of-00002.bin,file_too_large,File size 9.3GB exceeds limit,2025-08-08T23:59:52.660162
laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,pytorch_model-00001-of-00002.safetensors,file_too_large,File size 9.3GB exceeds limit,2025-08-08T23:59:54.201990
openai/gpt-oss-20b,metal/model.bin,file_too_large,File size 12.8GB exceeds limit,2025-08-09T00:00:21.127606
openai/gpt-oss-20b,original/model.safetensors,file_too_large,File size 12.8GB exceeds limit,2025-08-09T00:00:27.370464
meta-llama/Llama-3.1-8B,model-00001-of-00004.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:00:36.579993
